"site_date_key","site_number","sample_date","sample_trip","water_depth","temperature","salinity","latitude","longitude","site_picture","notes","site_picture_path","extra_bags"
"a4b3f9e22405245f","58","5/12/2024 01:36 PM","2405","28.5","28.1","23.2","29.11752","-90.184861","Reserved_ImageAttachment_[12]_[site_picture][36]_[e13a8578-562e-4fbd-b29f-49664239e38d][1]_[1].png",,,
"1687127d24050c74","82","5/12/2024 01:32 PM","2405","32","29.7","23.6","29.12887","-90.177045","Reserved_ImageAttachment_[12]_[site_picture][36]_[31456463-4736-4a0d-9f23-85d9253f42bd][1]_[1].png",,,
"a8ddf58e2405021e","83","5/12/2024 03:18 PM","2405","25.5","27.6","24.7","29.13317767","-90.17571633","Reserved_ImageAttachment_[12]_[site_picture][36]_[70284556-96aa-49d1-a457-380470d053c5][1]_[1].png",,,
"c338e967240511e8","118","5/12/2024 03:34 PM","2405","38.5","28.8","23.7","29.12991417","-90.17285567","Reserved_ImageAttachment_[12]_[site_picture][36]_[4e174a53-1e2a-4cf4-8258-3a0141502cea][1]_[1].png",,,
"81e38c8824051a86","102","5/12/2024 04:12 PM","2405","35","29.4","24.7","29.126417","-90.167874","Reserved_ImageAttachment_[12]_[site_picture][36]_[c5b368ce-93bb-400a-9209-10bfc073e285][1]_[1].png",,,
"12eaf36a24052177","55","5/13/2024 10:57 AM","2405","35.5","26.9","23.6","29.14608917","-90.2280425","Reserved_ImageAttachment_[12]_[site_picture][36]_[2fc727cc-d1f4-4d26-afa2-9a313a89ea0f][1]_[1].png",,,
"573ac9ad240523b7","41","5/13/2024 11:19 AM","2405","33","26","23.5","29.14171483","-90.23501917","Reserved_ImageAttachment_[12]_[site_picture][36]_[9cb757b6-ad6f-4e8b-83e4-6a31c680495e][1]_[1].png",,,
"e367ad5f24051eaa","23","5/13/2024 11:49 AM","2405","31","26.3","23","29.14367483","-90.237111","Reserved_ImageAttachment_[12]_[site_picture][36]_[a3f60bcd-2680-4ec9-b631-d1b040430404][1]_[1].png",,,
"3b830f8324050f6c","107","5/13/2024 12:03 PM","2405","27.5","26.2","23.3","29.1390705","-90.23983","Reserved_ImageAttachment_[12]_[site_picture][36]_[3e3aa8a1-c9e8-4055-bb72-e22ce6a784e1][1]_[1].png",,,
"15cc752024050f18","104","5/13/2024 12:31 PM","2405","30.5","26.5","22.9","29.14038667","-90.24185617","Reserved_ImageAttachment_[12]_[site_picture][36]_[cd2cfb81-2c34-427e-a0ef-ed61f24662c8][1]_[1].png",,,
